DevEUI,FCntUp,Payload,GwMAC,Timestamp,RSSI,SNR
303637336E377802	,0,AA90B23C40	,B827EBFFFE2B8622	,2018-05-23T14:25:27.517Z,-84,4.800000190734863
303637336E377802	,0,AA90B23C40	,B827EBFFFE92D395	,2018-05-23T14:25:27.516Z,-63,10.5
303637336E377802	,0,AA90B23C40	,B827EBFFFE92D395	,2018-05-23T14:25:20.489Z,-61,8
303637336E377802	,0,AA90B23C40	,B827EBFFFE2B8622	,2018-05-23T14:25:20.489Z,-90,2.200000047683716
303637336E377802	,0,AA90B23C40	,B827EBFFFE2B8622	,2018-05-23T11:21:11.988Z,-89,2.799999952316284
303637336E377802	,0,AA90B23C40	,B827EBFFFE92D395	,2018-05-23T11:21:11.988Z,-61,8.800000190734863
303637336E377802	,0,AA90B23C40	,B827EBFFFE2B8622	,2018-05-23T08:17:07.917Z,-85,4.800000190734863
303637336E377802	,0,AA90B23C40	,B827EBFFFE92D395	,2018-05-23T08:17:07.916Z,-63,9.5
303637336E377802	,0,AA90B23C40	,B827EBFFFE2B8622	,2018-05-23T05:12:58.260Z,-85,4.199999809265137
303637336E377802	,0,AA90B23C40	,B827EBFFFE92D395	,2018-05-23T05:12:58.260Z,-63,9.5
303637336E377802	,0,AA90B23C40	,B827EBFFFE2B8622	,2018-05-23T02:08:50.924Z,-90,3
303637336E377802	,0,AA90B23C40	,B827EBFFFE92D395	,2018-05-23T02:08:50.924Z,-67,9.199999809265137
303637336E377802	,0,AA90B23C40	,B827EBFFFE92D395	,2018-05-23T02:08:44.897Z,-66,7.199999809265137
303637336E377802	,0,AA90B23C40	,B827EBFFFE2B8622	,2018-05-23T02:08:44.896Z,-87,5
303637336E377802	,0,AAEFEB3C40	,B827EBFFFE2B8622	,2018-05-23T20:33:56.967Z,-88,4.800000190734863
303637336E377802	,0,AAEFEB3C40	,B827EBFFFE92D395	,2018-05-23T20:33:56.966Z,-61,9.800000190734863
303637336E377802	,0,AAEFEB3C40	,B827EBFFFE2B8622	,2018-05-23T17:29:45.199Z,-90,3.799999952316284
303637336E377802	,0,AAEFEB3C40	,B827EBFFFE92D395	,2018-05-23T17:29:45.199Z,-61,9
303637336E377802	,0,AAEFEB3C40	,B827EBFFFE2B8622	,2018-05-23T17:29:39.171Z,-83,5.5
303637336E377802	,0,AAEFEB3C40	,B827EBFFFE92D395	,2018-05-23T17:29:39.171Z,-61,9
303637336E377802	,0,AAEFEB3C40	,B827EBFFFE2B8622	,2018-05-23T14:25:27.517Z,-84,4.800000190734863
303637336E377802	,0,AAEFEB3C40	,B827EBFFFE92D395	,2018-05-23T14:25:27.516Z,-63,10.5
303637336E377802	,0,AAEFEB3C40	,B827EBFFFE92D395	,2018-05-23T14:25:20.489Z,-61,8
303637336E377802	,0,AAEFEB3C40	,B827EBFFFE2B8622	,2018-05-23T14:25:20.489Z,-90,2.200000047683716
303637336E377802	,0,AAEFEB3C40	,B827EBFFFE2B8622	,2018-05-23T11:21:11.988Z,-89,2.799999952316284
303637336E377802	,0,AAEFEB3C40	,B827EBFFFE92D395	,2018-05-23T11:21:11.988Z,-61,8.800000190734863
303637336E377802	,0,AAEFEB3C40	,B827EBFFFE2B8622	,2018-05-23T08:17:07.917Z,-85,4.800000190734863
303637336E377802	,0,AAEFEB3C40	,B827EBFFFE92D395	,2018-05-23T08:17:07.916Z,-63,9.5
303637336E377802	,0,AAEFEB3C40	,B827EBFFFE2B8622	,2018-05-23T05:12:58.260Z,-85,4.199999809265137
303637336E377802	,0,AAEFEB3C40	,B827EBFFFE92D395	,2018-05-23T05:12:58.260Z,-63,9.5
303637336E377802	,0,AAEFEB3C40	,B827EBFFFE2B8622	,2018-05-23T02:08:50.924Z,-90,3
303637336E377802	,0,AAEFEB3C40	,B827EBFFFE92D395	,2018-05-23T02:08:50.924Z,-67,9.199999809265137
303637336E377802	,0,AAEFEB3C40	,B827EBFFFE92D395	,2018-05-23T02:08:44.897Z,-66,7.199999809265137
303637336E377802	,0,AAEFEB3C40	,B827EBFFFE2B8622	,2018-05-23T02:08:44.896Z,-87,5
303637336E377802	,0,AAAB083D40	,B827EBFFFE2B8622	,2018-05-23T20:33:56.967Z,-88,4.800000190734863
303637336E377802	,0,AAAB083D40	,B827EBFFFE92D395	,2018-05-23T20:33:56.966Z,-61,9.800000190734863
303637336E377802	,0,AAAB083D40	,B827EBFFFE2B8622	,2018-05-23T17:29:45.199Z,-90,3.799999952316284
303637336E377802	,0,AAAB083D40	,B827EBFFFE92D395	,2018-05-23T17:29:45.199Z,-61,9
303637336E377802	,0,AAAB083D40	,B827EBFFFE2B8622	,2018-05-23T17:29:39.171Z,-83,5.5
303637336E377802	,0,AAAB083D40	,B827EBFFFE92D395	,2018-05-23T17:29:39.171Z,-61,9
303637336E377802	,0,AAAB083D40	,B827EBFFFE2B8622	,2018-05-23T14:25:27.517Z,-84,4.800000190734863
303637336E377802	,0,AAAB083D40	,B827EBFFFE92D395	,2018-05-23T14:25:27.516Z,-63,10.5
303637336E377802	,0,AAAB083D40	,B827EBFFFE92D395	,2018-05-23T14:25:20.489Z,-61,8
303637336E377802	,0,AAAB083D40	,B827EBFFFE2B8622	,2018-05-23T14:25:20.489Z,-90,2.200000047683716
303637336E377802	,0,AAAB083D40	,B827EBFFFE2B8622	,2018-05-23T11:21:11.988Z,-89,2.799999952316284
303637336E377802	,0,AAAB083D40	,B827EBFFFE92D395	,2018-05-23T11:21:11.988Z,-61,8.800000190734863
303637336E377802	,0,AAAB083D40	,B827EBFFFE2B8622	,2018-05-23T08:17:07.917Z,-85,4.800000190734863
303637336E377802	,0,AAAB083D40	,B827EBFFFE92D395	,2018-05-23T08:17:07.916Z,-63,9.5
303637336E377802	,0,AAAB083D40	,B827EBFFFE2B8622	,2018-05-23T05:12:58.260Z,-85,4.199999809265137
303637336E377802	,0,AAAB083D40	,B827EBFFFE92D395	,2018-05-23T05:12:58.260Z,-63,9.5
303637336E377802	,0,AAAB083D40	,B827EBFFFE2B8622	,2018-05-23T02:08:50.924Z,-90,3
303637336E377802	,0,AAAB083D40	,B827EBFFFE92D395	,2018-05-23T02:08:50.924Z,-67,9.199999809265137
303637336E377802	,0,AAAB083D40	,B827EBFFFE92D395	,2018-05-23T02:08:44.897Z,-66,7.199999809265137
303637336E377802	,0,AAAB083D40	,B827EBFFFE2B8622	,2018-05-23T02:08:44.896Z,-87,5
303637336E377802	,0,AAEFEB3C40	,B827EBFFFE2B8622	,2018-05-23T20:33:56.967Z,-88,4.800000190734863
303637336E377802	,0,AAEFEB3C40	,B827EBFFFE92D395	,2018-05-23T20:33:56.966Z,-61,9.800000190734863
303637336E377802	,0,AAEFEB3C40	,B827EBFFFE2B8622	,2018-05-23T17:29:45.199Z,-90,3.799999952316284
303637336E377802	,0,AAEFEB3C40	,B827EBFFFE92D395	,2018-05-23T17:29:45.199Z,-61,9
303637336E377802	,0,AAEFEB3C40	,B827EBFFFE2B8622	,2018-05-23T17:29:39.171Z,-83,5.5
303637336E377802	,0,AAEFEB3C40	,B827EBFFFE92D395	,2018-05-23T17:29:39.171Z,-61,9
303637336E377802	,0,AAEFEB3C40	,B827EBFFFE2B8622	,2018-05-23T14:25:27.517Z,-84,4.800000190734863
303637336E377802	,0,AAEFEB3C40	,B827EBFFFE92D395	,2018-05-23T14:25:27.516Z,-63,10.5
303637336E377802	,0,AAEFEB3C40	,B827EBFFFE92D395	,2018-05-23T14:25:20.489Z,-61,8
303637336E377802	,0,AAEFEB3C40	,B827EBFFFE2B8622	,2018-05-23T14:25:20.489Z,-90,2.200000047683716
303637336E377802	,0,AAEFEB3C40	,B827EBFFFE2B8622	,2018-05-23T11:21:11.988Z,-89,2.799999952316284
303637336E377802	,0,AAEFEB3C40	,B827EBFFFE92D395	,2018-05-23T11:21:11.988Z,-61,8.800000190734863
303637336E377802	,0,AAEFEB3C40	,B827EBFFFE2B8622	,2018-05-23T08:17:07.917Z,-85,4.800000190734863
303637336E377802	,0,AAEFEB3C40	,B827EBFFFE92D395	,2018-05-23T08:17:07.916Z,-63,9.5
303637336E377802	,0,AAEFEB3C40	,B827EBFFFE2B8622	,2018-05-23T05:12:58.260Z,-85,4.199999809265137
303637336E377802	,0,AAEFEB3C40	,B827EBFFFE92D395	,2018-05-23T05:12:58.260Z,-63,9.5
303637336E377802	,0,AAEFEB3C40	,B827EBFFFE2B8622	,2018-05-23T02:08:50.924Z,-90,3
303637336E377802	,0,AAEFEB3C40	,B827EBFFFE92D395	,2018-05-23T02:08:50.924Z,-67,9.199999809265137
303637336E377802	,0,AAEFEB3C40	,B827EBFFFE92D395	,2018-05-23T02:08:44.897Z,-66,7.199999809265137
303637336E377802	,0,AAEFEB3C40	,B827EBFFFE2B8622	,2018-05-23T02:08:44.896Z,-87,5
303637336E377802	,0,AAEFEB3C40	,B827EBFFFE2B8622	,2018-05-23T20:33:56.967Z,-88,4.800000190734863
303637336E377802	,0,AAEFEB3C40	,B827EBFFFE92D395	,2018-05-23T20:33:56.966Z,-61,9.800000190734863
303637336E377802	,0,AAEFEB3C40	,B827EBFFFE2B8622	,2018-05-23T17:29:45.199Z,-90,3.799999952316284
303637336E377802	,0,AAEFEB3C40	,B827EBFFFE92D395	,2018-05-23T17:29:45.199Z,-61,9
303637336E377802	,0,AAEFEB3C40	,B827EBFFFE2B8622	,2018-05-23T17:29:39.171Z,-83,5.5
303637336E377802	,0,AAEFEB3C40	,B827EBFFFE92D395	,2018-05-23T17:29:39.171Z,-61,9
303637336E377802	,0,AAEFEB3C40	,B827EBFFFE2B8622	,2018-05-23T14:25:27.517Z,-84,4.800000190734863
303637336E377802	,0,AAEFEB3C40	,B827EBFFFE92D395	,2018-05-23T14:25:27.516Z,-63,10.5
303637336E377802	,0,AAEFEB3C40	,B827EBFFFE92D395	,2018-05-23T14:25:20.489Z,-61,8
303637336E377802	,0,AAEFEB3C40	,B827EBFFFE2B8622	,2018-05-23T14:25:20.489Z,-90,2.200000047683716
303637336E377802	,0,AAEFEB3C40	,B827EBFFFE2B8622	,2018-05-23T11:21:11.988Z,-89,2.799999952316284
303637336E377802	,0,AAEFEB3C40	,B827EBFFFE92D395	,2018-05-23T11:21:11.988Z,-61,8.800000190734863
303637336E377802	,0,AAEFEB3C40	,B827EBFFFE2B8622	,2018-05-23T08:17:07.917Z,-85,4.800000190734863
303637336E377802	,0,AAEFEB3C40	,B827EBFFFE92D395	,2018-05-23T08:17:07.916Z,-63,9.5
303637336E377802	,0,AAEFEB3C40	,B827EBFFFE2B8622	,2018-05-23T05:12:58.260Z,-85,4.199999809265137
303637336E377802	,0,AAEFEB3C40	,B827EBFFFE92D395	,2018-05-23T05:12:58.260Z,-63,9.5
303637336E377802	,0,AAEFEB3C40	,B827EBFFFE2B8622	,2018-05-23T02:08:50.924Z,-90,3
303637336E377802	,0,AAEFEB3C40	,B827EBFFFE92D395	,2018-05-23T02:08:50.924Z,-67,9.199999809265137
303637336E377802	,0,AAEFEB3C40	,B827EBFFFE92D395	,2018-05-23T02:08:44.897Z,-66,7.199999809265137
303637336E377802	,0,AAEFEB3C40	,B827EBFFFE2B8622	,2018-05-23T02:08:44.896Z,-87,5
